Title,Views,Views_Count,Published,URL,Duration_Text,Duration_Seconds,Category
"""โรงเรียนมัธยมชายล้วน"" มีสี่เรื่องที่เขาพูดกันว่าสยองขวัญที่สุด | หลอนตามสั่ง EP.407 | nuenglc",การดู 3.9 แสน ครั้ง,390000,2025-03-26 22:44:00.080177,https://www.youtube.com/watch?v=qmkDr9OK8z0,36:08,2168,เรื่องเล่า
"""บ้านเก็บผี"" บ้านเช่าราคาถูกแถมกระดูกคนตาย!!! | หลอนตามสั่ง EP.406 | nuenglc",การดู 4 แสน ครั้ง,400000,2025-03-26 22:44:00.080181,https://www.youtube.com/watch?v=FM0EGL4QWMg,31:33,1893,เรื่องเล่า
"""เวทีหน้าหลุมศพ"" คณะหมอลำไปเจอดีกันที่บ้าน ส. (จ.ศรีสะเกษ) | หลอนตามสั่ง EP.405 | nuenglc",การดู 2.6 แสน ครั้ง,260000,2025-03-26 22:44:00.080185,https://www.youtube.com/watch?v=4j12UXpPFZ0&pp=0gcJCesJAYcqIYzv,28:15,1695,เรื่องเล่า
"""ออเดอร์นี้ใครเขารับกัน"" ประสบการณ์สยองของออเดอร์สุดท้ายที่หาดใหญ่ | หลอนตามสั่ง EP.404 | nuenglc",การดู 5.7 แสน ครั้ง,570000,2025-03-26 22:44:00.080190,https://www.youtube.com/watch?v=99-aSUJVCh8,25:22,1522,เรื่องจริง
"""ห้าครั้งจำจนตาย"" ในชีวิตนี้คุณเจอผีกันกี่ครั้ง? | หลอนตามสั่ง EP.403 | nuenglc",การดู 2.4 แสน ครั้ง,240000,2025-02-24 22:44:00.080194,https://www.youtube.com/watch?v=bZDoEwMt4aY,33:31,2011,เรื่องเล่า
"""คาถาบังตาผี"" คืนไหนไม่ได้ท่องคาถาผีมาทันที | หลอนตามสั่ง EP.402 | nuenglc",การดู 3.5 แสน ครั้ง,350000,2025-02-24 22:44:00.080198,https://www.youtube.com/watch?v=LDvE3hrU1-U&pp=0gcJCesJAYcqIYzv,38:14,2294,เรื่องเล่า
"""คำแนะนำจากสัปเหร่อ"" เขาบอกให้ทำแบบนี้แล้วจะได้เจอแม่ที่เสียไป | หลอนตามสั่ง EP.401 | nuenglc",การดู 2.2 แสน ครั้ง,220000,2025-02-24 22:44:00.080202,https://www.youtube.com/watch?v=m4zzB1_EhpY,27:57,1677,เรื่องเล่า
"""ผ้าซ่อนผี"" อย่าออกไปตากผ้าตอนกลางคืนเด็ดขาด | หลอนตามสั่ง EP.400 | nuenglc",การดู 4.5 แสน ครั้ง,450000,2025-02-24 22:44:00.080207,https://www.youtube.com/watch?v=CB-2BGpq9Ls,47:40,2860,เรื่องเล่า
"""ศพป้าพร"" ไหนว่าแกตายไปนานแล้วทำไมยังเจอ ? | หลอนตามสั่ง EP.399 | nuenglc",การดู 2.4 แสน ครั้ง,240000,2025-02-24 22:44:00.080211,https://www.youtube.com/watch?v=fM9KZyKIFjU,21:58,1318,เรื่องเล่า
"""ทางกลับบ้านลพบุรี"" เกือบไม่ได้มาเล่าให้ฟังว่าถนนเส้นนั้นเกิดอะไรขึ้น | หลอนตามสั่ง EP.398 | nuenglc",การดู 5.9 แสน ครั้ง,590000,2025-02-24 22:44:00.080215,https://www.youtube.com/watch?v=E86unpKchjc,39:47,2387,เรื่องเล่า
"""ต้นเหตุความสยอง"" ฟังเรื่องนี้จบกลับไปดูหิ้งพระของคุณให้ดี!! | หลอนตามสั่ง EP.397 | nuenglc",การดู 2.5 แสน ครั้ง,250000,2025-02-24 22:44:00.080219,https://www.youtube.com/watch?v=BgoRMWcCxOw,29:46,1786,เรื่องเล่า
"""คืนตรวจผี"" ในไซต์งานที่ยังสร้างไม่เสร็จ | หลอนตามสั่ง EP.396 | nuenglc",การดู 1.8 แสน ครั้ง,180000,2025-02-24 22:44:00.080224,https://www.youtube.com/watch?v=vN_mATY36uY,20:31,1231,เรื่องเล่า
"""10ปีผีไม่ปล่อย"" ถ้าตายตั้งแต่วันนั้นเรื่องคงไม่จบแบบนี้  | หลอนตามสั่ง EP.395 | nuenglc",การดู 2.3 แสน ครั้ง,229999,2025-02-24 22:44:00.080228,https://www.youtube.com/watch?v=aJ5sdNTJDZ8,33:37,2017,เรื่องผี
"""อยากเห็นผี"" โบราณห้ามไม่ฟังสุดท้ายได้เห็นไปตลอดชีวิต | หลอนตามสั่ง EP.394 | nuenglc",การดู 2.9 แสน ครั้ง,290000,2025-01-25 22:44:00.080232,https://www.youtube.com/watch?v=0e87crPG_pQ,28:40,1720,ตำนาน / ประวัติศาสตร์
"""ปัญจภูตะ"" ห้าเรื่องผีจากประสบการณ์จริงที่หาฟังที่ไหนไม่ได้!! | หลอนตามสั่ง EP.393 | nuenglc",การดู 6.6 แสน ครั้ง,660000,2025-01-25 22:44:00.080236,https://www.youtube.com/watch?v=7C_J7W-2mTs,53:11,3191,เรื่องจริง
"""โรงเรียนประจำ"" เขาเล่าให้ฟังว่าศพในบึงน้ำมันกลับมาหลอกอีกแล้ว | หลอนตามสั่ง EP.392 | nuenglc",การดู 2 แสน ครั้ง,200000,2025-01-25 22:44:00.080241,https://www.youtube.com/watch?v=RYBY2t9jnrM,27:22,1642,เรื่องเล่า
"""เตียงนางไม้"" เขาเอาไม้ผีมาทำเตียงให้นอนในรีสอร์ทแห่งหนึ่ง จ.นครพนม | หลอนตามสั่ง EP.391 | nuenglc",การดู 1.9 แสน ครั้ง,190000,2025-01-25 22:44:00.080245,https://www.youtube.com/watch?v=FR5ZAHYROvI,30:54,1854,เรื่องผี
